Filename,Date taken,Coordinates taken,Camera used,Description
Bachenbuelach_south-west_1.jpg,2023-07-23T11:44:53:421Z,47.49684/8.53548,Pixel 3a main Camera,Looking towards Bachenbülach from the south-west
Bachenbuelach_south-west_2.jpg,2023-07-23T13:03:12:983Z,47.49745/8.54043,Pixel 3a main Camera,Looking towards Bachenbülach from the south-west with 1 person edited out
Bachenbuelach_north-east_1.jpg,2023-07-30T10:43:48:937Z,47.50905/8.55097,Pixel 3a main Camera,Looking down towards Bachenbülach from the north-east
Bachenbuelach_north-east_2.jpg,2023-07-30T10:55:12:821Z,47.51051/8.55042,Pixel 3a main Camera,Looking down towards Bachenbülach from the north-east
Bachenbuelach_south-east_1.jpg,2023-07-30T12:07:24:076Z,47.50228/8.55602,Pixel 3a main Camera,Looking down towards Bachenbülach from the south-east
Bachenbuelach_south-east_2.jpg,2023-07-30T12:08:25:310Z,47.50228/8.55602,Pixel 3a main Camera,Looking towards the sports fields and the school Halden
Bachenbuelach_east_1.jpg,2023-07-30T12:15:57:296Z,47.50430/8.55552,Pixel 3a main Camera,Looking down towards Bachenbülach from next to the reservoir in the east
Gemeindehaus.jpg,2023-07-30T12:32:20:837Z,47.50254/8.54707,Pixel 3a main Camera,The front of the Gemeindehaus Bachenbülach
