Filename,Date taken,Coordinates taken,Camera used,Description,
Dachsen-north.jpg,2026-03-15T10:50:10.150Z,47.665226/8.610722,Pixel 3a main Camera,The northern part of Dachsen from the south.,
Dachsen-south.jpg,2026-03-15T10:50:24.138Z,47.665226/8.610722,Pixel 3a main Camera,The southern part of Dachsen from the west.,
Bunker-Dachsen_nord.jpg,2026-03-15T11:04:30.235Z,47.662572/8.614016,Pixel 3a main Camera,The bunker «Dachsen Nord» from the south-east.,
Bunker-Dachsen_sued.jpg,2026-03-15T11:35:30.917Z,47.657438/8.623463,Pixel 3a main Camera,The bunker «Dachsen Süd» from the east.,
Dachsen-south_east.jpg,2026-03-15T12:20:57.699Z,47.660573/8.622664,Pixel 3a main Camera,The south-eastern part of Dachsen from the west.,
Dachsen-central.jpg,2026-04-12T13:32:17.170Z,47.668815/8.618469,Pixel 3a main Camera,The central part of Dachsen from the north east.,Some personally identifiable information has ben replaced by black pixels.
Dachsen-central-ese.jpg,2026-04-12T13:37:50.688Z,47.665630/8.619858,Pixel 3a main Camera,The central part of Dachsen from the east-south-east.,Some personally identifiable information has ben replaced by black pixels.
Dachsen-central_south-e.jpg,2026-04-12T13:37:55.671Z,47.665630/8.619858,Pixel 3a main Camera,The central to southern part of Dachsen from the east.,Some personally identifiable information has ben replaced by black pixels.
Dachsen-south_east-n.jpg,2026-04-12T13:38:04.177Z,47.665630/8.619858,Pixel 3a main Camera,The south-eastern part of Dachsen from the north.,Some personally identifiable information has ben replaced by black pixels.
